title,source,search_query
In silico models for biomedical applications of magnetic nanoparticles,Scholar,QEM + ML
New Frontiers in Dark Matter and Top Quark Phenomenology,Scholar,QEM + ML
Investigating the production of leptoquarks by means of zeros of amplitude at photon electron collider,Scholar,QEM + ML
International Legal Foundations of Interaction Between International Organizations: Theory and Contemporary Challenges,Scholar,QEM + ML
Development of a monolithically 3D printed reciprocating piston pump for HPLC,Scholar,QEM + ML
Advancing Additive Nanomanufacturing of Quantum Optoelectronics,Scholar,QEM + ML
A supersymmetric theory of baryogenesis and sterile sneutrino dark matter from B mesons,Scholar,QEM + ML
"Effects of trichothecene production by Trichoderma arundinaceum isolates from bean-field soils on the defense response, growth and development of bean plants …",Scholar,QEM + ML
Exploring deep carbonate reservoir samples: Anisotropy and correlation of static and dynamic Young's moduli,Scholar,QEM + ML
Magnetic Interconnected macroporous imprinted foams for selective recognition and adsorptive removal of phenolic pollution from water,Scholar,QEM + ML
EVALUATING THE DETERMINANTS OF QUALITY OF HIGHER EDUCATION: A COMPARATIVE STUDY OF PUBLIC VS PRIVATE UNIVERSITIES IN …,Scholar,QEM + ML
Quantum computing meets neural excitability: modeling ion channels and action potentials via membrane biophysics.,Scholar,QEM + ML
Vektör leptokurakların FCC temelli foton-proton çarpıştırıcılarında üretimi,Scholar,QEM + ML
Neutrino: chronicles of an aloof protagonist,Scholar,QEM + ML
The Place of Arbitration and Mediation in Ancient Systems of International Ethics,Scholar,QEM + ML
Peptides for Nutrient and Rare Earth Recovery,Scholar,QEM + ML
Zone Social Baseline Study,Scholar,QEM + ML
PAEOIIA-fl IIPOIPAMMA,Scholar,QEM + ML
POJEDNOSTAVLJENI ANALITIČKI MODELI ZA ODREĐIVANJE ELEKTROMAGNETSKO-TOPLINSKOG ODZIVA LJUDSKOG TIJELA IZLOŽENOG ZRAČENJU …,Scholar,QEM + ML
Hybrid Silver Nanoparticles-Purple Sweet Potato (Ipomoea batatas L.) Peels as a Prospective Adsorbent for Bromophenol Blue Removal.,Scholar,QEM + ML
Current Questions of Law Enforcement Practice on the Application of Legislation on Enforcement Proceedings: The Experience of the Twelfth Arbitration Court of …,Scholar,QEM + ML
[PS] KOSYE PROIZVEDENI I RGODIQESKIE TEOREMY DL GRUPPOVYH DE STVI,Scholar,QEM + ML
GALOIS THEORY AND QUALITY OF SERVICE DRIVEN KNOWLEDGE EXTRACTION WITHIN AN ENTERPRISE,Scholar,QEM + ML
Investigating the adsorption behavior of simple benzene derivatives on cross-linked dextran polymer,Scholar,QEM + ML
A conceptual framework for determining quality requirements for mobile learning applications using delphi method,Scholar,QEM + ML
Moderate yet Reversible Oligozwitterion Adsorption Unlocks Stable Zinc‐Ion Batteries,Scholar,QEM + ML
Development of a sequencing system for spatial decoding of DNA barcode molecules at single-molecule resolution,Scholar,QEM + ML
Scalar-induced Neutrinoless Double Beta Decay in,Scholar,QEM + ML
Chemical interrogation of nuclear size identifies compounds with cancer cell line-specific effects on migration and invasion,Scholar,QEM + ML
Reactive transformation of extraction byproducts: Enhanced production of the antimalarial artemisinin,Scholar,QEM + ML
Kaolinite Surface Charges Developed in Cyclohexane in the Presence of Bitumen,Scholar,QEM + ML
Chemical-Genetic Interrogation of Nuclear Size Control Reveals Cancer-Specific Effects on Cell Migration and Invasion,Scholar,QEM + ML
[PS] BAZISNOST^ PO ABEL {LIDSKOMU V NESAMOSOPR ENNO OBRATNO ZADAQE,Scholar,QEM + ML
[PS] SPARIVANIE GIL^ BERTA DL FORMAL^ NYH GRUPP NAD {KOL^ CAMI Vvedenie,Scholar,QEM + ML
Salts as additives: a route to improve performance and stability of n-type organic electrochemical transistors,Scholar,QEM + ML
Cyclic Stochastic Inventory Routing Planning with Reorder Points and Recourse Decision for an Application in Medical Supply,Scholar,QEM + ML
Polyhedral complex derivation from piecewise trilinear networks,Scholar,QEM + ML
The role of Co/Zn-doped organic interlayer on the operating performance of Schottky devices as an ionizing radiation sensor,Scholar,QEM + ML
[PS] PRIVEDENNY MODUL^ KOMPLEKSNO SFERY,Scholar,QEM + ML
Shape optimization of planar inductors for RF circuits using a metaheuristic technique based on evolutionary approach,Scholar,QEM + ML
Dynamic scheduling for ultra reliable and low latency communications,Scholar,QEM + ML
Non-Markovian effects for hybrid plasmonic systems in the strong coupling regime,Scholar,QEM + ML
[책] General Seabird Bioenergetic Model,Scholar,QEM + ML
The Development of a Data-Driven Visualisation System and Multimodal Data Fusion Platform for Underground Mines,Scholar,QEM + ML
8ª BRIGADA DE INFANTARIA MOTORIZADA 19º BATALHÃO DE INFANTARIA MOTORIZADO,Scholar,QEM + ML
Charge Storage Mechanism of Redox Polymers for Energy Storage,Scholar,QEM + ML
Foreign Arbitral Tribunals (1932),Scholar,QEM + ML
"The Recovery of Cu, Co, Zn, and Mn from a Complex Oxide Ore Using an Enhanced Reduction Leaching. Metals 2021, 11, 1636",Scholar,QEM + ML
Disputatione academica expositos Gallorum veterum druides... duce ac moderatore... Petro Lagerlööf... examini publico sistit Jacobus J. Waldius Fiedr: Ante …,Scholar,QEM + ML
Detecting security patches in Java OSS projects using NLP,Scholar,QEM + ML
"Defining Wireless Communication (WC) Electromagnetic Fields (EMFs):: A. Polarization Is a Principal Property of All Man-made EMFsB. Modulation, Pulsation, and …",Scholar,QEM + ML
Eindige elementen formulering van koudeopslag,Scholar,QEM + ML
"Rilune, n° 15,"" Sons de papier: nouvelles perspectives pour l'étude des rapports entre littérature et musique""",Scholar,QEM + ML
Pleistocene chronology and history of hominins and fauna at Denisova Cave,Scholar,QEM + ML
"[PS] PITMENOVSKA FFEKTIVNOST^ KRITERIEV NEZAVISIMOSTI, OSNOVANNYH NA VZVEXENNYH RANGOVYH STATISTIKAH",Scholar,QEM + ML
Winter greenhouse combined heating system,Scholar,QEM + ML
Parametric resonance in the oscillations of a charged pendulum inside a uniformly charged circular ring,Scholar,QEM + ML
Codification of Private International Law in Mixed Jurisdictions (on the Puerto Rico Example),Scholar,QEM + ML
"Investigation of Interface States, Series Resistance and Barrier Height Variation with Frequency in Al/WO3/p-Si (MOS) Capacitors",Scholar,QEM + ML
Filamentous bacteriophage based application,Scholar,QEM + ML
Finite-set model predictive power control with common mode voltage elimination for an asymmetrical double-star induction generator wind energy conversion system,Scholar,QEM + ML
Bayesian Deep Learning for Graphs,Scholar,QEM + ML
Synthesis of Eco-Friendly Additives for Sustainable Tanning Processes,Scholar,QEM + ML
Work-in-Progress: Project-based Learning in a Summer Engineering Program Implemented Virtually,Scholar,QEM + ML
"Sedimentological and pore-scale characterisation of the Bockfließ Formation, Central Vienna Basin: implications for sealing potential",Scholar,QEM + ML
Harvinaisten maametallien talteenotto sähkö-ja elektroniikkajätteestä,Scholar,QEM + ML
Puebla City Water Supply from the Perspective of Urban Water Metabolism,Scholar,QEM + ML
Study on Implementation of Lean Six Sigma in Hospital Auxiliary Ship Block Construction Process,Scholar,QEM + ML
Democratizing Evaluation with Infinity-Benchmarks: Sample-Level Heterogeneous Testing Over Arbitrary Capabilities,Scholar,QEM + ML
Notes on Fock space,Scholar,QEM + ML
Fluorescence Based Dopamine Detection,Scholar,QEM + ML
Reinforcement learning algorithm for improving speed response of a five-phase permanent magnet synchronous motor based model predictive control,Scholar,QEM + ML
High-throughput single-cell activity-based screening and sequencing of antibodies using droplet microfluidics,Scholar,QEM + ML
[인용] Extração de ácido fítico do farelo de arroz desengordurado por ultrassom auxiliado pelo processo de adsorção,Scholar,QEM + ML
Interface engineering for GaN HEMTs,Scholar,QEM + ML
But words have power: estudi de l'arabitat diaspòrica anglòfona i queer a la novel· la “Guapa” de Saleem Haddad,Scholar,QEM + ML
[PS] O PODOBII TREUGOL^ NOGO OPERATORA DIAGONAL^ NOMU Vvedenie,Scholar,QEM + ML
Istovremeno neanuliranje L-funkcija kvadratnih tvistova eliptičke krive i kvadratnih Dirihleovih L-funkcija nad funkcijskim poljima,Scholar,QEM + ML
[책] Private Computation on Public Clouds,Scholar,QEM + ML
"Precise, subnanosecond, and high-voltage switching enabled by gallium nitride electronics integrated into complex loads",Scholar,QEM + ML
"Research Article Adsorption of Crystal Violet Dye from Aqueous Solution using Industrial Pepper Seed Spent: Equilibrium, Thermodynamic, and Kinetic Studies",Scholar,QEM + ML
Eight-Weeks of HIIT Improves eSport Performance Scores in Super Smash Brothers Ultimate Competitors,Scholar,QEM + ML
Towards Development a Novel Framework of Web-Based Systems Quality Engineering by the Integration between Information Systems and Software Engineering …,Scholar,QEM + ML
Interactive AR-Based 3D Geological Visualization of Subsurface Mining Structures: Real-Time Performance Evaluation in the Jiaojia Gold Mine,Scholar,QEM + ML
Exploring the significance of internship experiences for the career development of racially minoritized undergraduate engineering students,Scholar,QEM + ML
Targeted preparation of metallic materials via innovative electrochemical approaches,Scholar,QEM + ML
Structural and Functional Analysis of PelH: Insight into the Regulation of Auto-aggregation in Streptococcus intermedius,Scholar,QEM + ML
[PS] DIFRAKCI LEKTROMAGNITNO VOLNY NA MALO NEODNORODNOSTI LLIPTIQESKO FORMY V SLOE Posv waets bile Vasili Miha loviqa Babiqa,Scholar,QEM + ML
Implications of Initial Assumptions in Agri-Environmental Nitrogen Pollution Reduction Policy Design: Quasi-Empirical Evidence from Croatia,Scholar,QEM + ML
A Survey on Vision Autoregressive Model,Scholar,QEM + ML
Fault-tolerant structures for measurement-based quantum computation on a network,Scholar,QEM + ML
Ultrafast hole transfer and carrier transport controlled by nanoscale-phase morphology in nonfullerene organic solar cells,Scholar,QEM + ML
Towards the robust and effective design of hyperthermic devices: Improvement of a patch antenna for the case study of abdominal rhabdomyosarcoma with 3D …,Scholar,QEM + ML
Kidney Stones as Minerals: How Methods from Geology Could Inform Urolithiasis Treatment,Scholar,QEM + ML
"Computational Modeling of Additive Manufacturing—Overview, Principles, and Simulations in Different Scales",Scholar,QEM + ML
Aspects of the electroweak Skyrmion,Scholar,QEM + ML
"Isotope dependence of energy, momentum and particle confinement in tokamaks",Scholar,QEM + ML
基于 PID 与模糊控制的汽车集成 热管理系统研究.,Scholar,QEM + ML
Management control and integration technology of intelligent production line for multi-variety and complex aerospace ring forgings: a review,Scholar,QEM + ML
Implementation of the Implied Powers Doctrine by the UN International Court of Justice,Scholar,QEM + ML
[PS] Z-FUNKCI SEL^ BERGA. LOKAL^ NY PODHOD,Scholar,QEM + ML
Nonlinear Multi-Fluid Modeling of Kinetic Alfvén Waves in Planetary Magnetospheres,Scholar,QEM + ML
"Urban building mesh polygonization based on plane-guided segmentation, topology correction and corner point clump optimization",Scholar,QEM + ML
Neural graph reasoning: Complex logical query answering meets graph databases,Scholar,QEM + ML
"[책] Cure models: methods, applications, and implementation",Scholar,QEM + ML
BPS algebras and generalised Kac-Moody algebras from 2-Calabi-Yau categories,Scholar,QEM + ML
"[인용] HCCJIE,[(OBAHH5I CBEPXTOHKHX KBA,[(PYITOJihHhIX B3AHMO,[(EHCTBHH METO,[J; OM B03MYI. QEHHhIX YfJIOBhIX KOPPEJI5IL (HH B …",Scholar,QEM + ML
Search for direct CP violation in charm neutral meson decays at LHCb,Scholar,QEM + ML
The service encounter in higher education institutions: a systematic literature review,Scholar,QEM + ML
KarstMod user guide-version 3.0,Scholar,QEM + ML
Clinical characterisation of a novel paroxysmal dyskinesia in Welsh terrier dogs,Scholar,QEM + ML
Inflation perception prediction based on news articles,Scholar,QEM + ML
[책] 偏最小平方法的結構方程模型 (PLS-SEM): 應用 SmartPLS,Scholar,QEM + ML
[인용] MY3A< PAPOB,Scholar,QEM + ML
[PS] O STRUNNYH REXENI H URAVNENI BETE VN= 4 SUPERSIMMETRIQNO TEORII NGA {MILLSA 1. Vvedenie,Scholar,QEM + ML
[인용] ITPI1 Hff> KEKI (HH BI (I1KJII1LJ: ECKHE YCKOPI1TEJ1I1 I1 HAKOITI1TEJ1I1,Scholar,QEM + ML
The Ratio of Instance and Non-Instance Methods of Checking Judicial Acts in Civil Procedure,Scholar,QEM + ML
"On the"" Benefit"" of Higher Legal Education",Scholar,QEM + ML
Efficacy of Urovaxom for improving chronic pelvic pain syndrome symptoms in prostate cancer patients who underwent radical prostatectomy: a multicenter …,Scholar,QEM + ML
New Physics with Ultra-High Energy Neutrinos,Scholar,QEM + ML
Erratum: Correction of missing funding information. A new phantom to evaluate the tissue dissolution ability of endodontic irrigants and activating devices,Scholar,QEM + ML
Impact of antibiotic and anticancer drugs on bacteria and the gut microbiota,Scholar,QEM + ML
Numerical Modeling of Water Distribution Systems Using the Graph p-Laplacian: Variational and Duality Methods with Applications,Scholar,QEM + ML
DOCTOR OF PHILOSOPHY (PHD),Scholar,QEM + ML
Dielectric loaded antenna with conformal waterbolus and improved SAR for hyperthermia treatment of localized superficial cancer,Scholar,QEM + ML
Arbitration Problems in the Russian Federation: Judicial Control and English Law. The View of a Practical,Scholar,QEM + ML
A Numerical Analysis of Microwave Hyperthermia of Deep-Seated Tumors Using Magneto-Dielectric Implants,Scholar,QEM + ML
An assessment of website quality at Nigerian polytechnics and colleges of education,Scholar,QEM + ML
Procedural Relevance of the Recording of Complaints under Art. 114 of the Ownership Act,Scholar,QEM + ML
CONDENSATION GROWTH OF WATER DROPLETS,Scholar,QEM + ML
Estudos cinéticos e mecanísticos da reação peroxioxalato em meio aquoso contendo surfactante,Scholar,QEM + ML
Impact of the electromagnetic waves on the human health and environment: study and analysis,Scholar,QEM + ML
Ultrafast spectroscopy and control of correlated quantum materials,Scholar,QEM + ML
Untersuchungen zum molekularen Mechanismus der durch Integrin β4-und E-/P-Selektin-Depletion induzierten Wachstumsinhibition humaner Xenograft …,Scholar,QEM + ML
Astrophysical Fluxes as Windows into the Nature of Neutrinos,Scholar,QEM + ML
Influence of magnetic scaffold loading patterns on their hyperthermic potential against bone tumors,Scholar,QEM + ML
A Plasma Torus Around a Young Low-Mass Star,Scholar,QEM + ML
Efficient Priority Queue Constructed on Heap-like Data Structure,Scholar,QEM + ML
2ª BRIGADA DE CAVALARIA MECANIZADA 8º REGIMENTO DE CAVALARIA MECANIZADO,Scholar,QEM + ML
"[인용] CI1CTEMbI Ill1TAHI151 I1 3BAKYAQI1I1 3HEPfl1I1 B EbICTPOUI1KJII1PYI011 (I1X CBEPXITPOB0,[(5111 (I1X CI1HXPOTPOHAX",Scholar,QEM + ML
Competition of Legal Systems: Myth or Reality?,Scholar,QEM + ML
Legal Approaches to Assessing Efficiency of Judiciary,Scholar,QEM + ML
Contour Information Entropy Based Low-Poly Building Model Reconstruction Algorithm,Scholar,QEM + ML
AckmM Mutz JkntrnaL,Scholar,QEM + ML
"Clustering, coalescing and bursting processes in surface bubbles of surfactant water flows",Scholar,QEM + ML
Advance (Preventive) Recognition (Non-Recognition) of Foreign Judgments under Article 24 of the 1996 Hague Convention,Scholar,QEM + ML
Indirect searches for New Physics via flavour observables,Scholar,QEM + ML
The development of serial verbs in a subset of Salish languages,Scholar,QEM + ML
Mise en évidence et caractérisation des espèces chimiques à l'origine de la nucléation des particules de suie dans les flammes,Scholar,QEM + ML
Composite collectors for the flotation of refractory alkaline rock-type rare-earth ores,Scholar,QEM + ML
Analisi dei consumi energetici di un ufficio nella prospettiva delle comunità energetiche: il caso studio degli uffici ENEA di Bari= Analysis of the energy consumption of …,Scholar,QEM + ML
Thermal control of the avionics box for a commercial supersonic aircraft through Reverse Bootstrap cycle,Scholar,QEM + ML
Light scalars with lepton number to solve the anomaly,Scholar,QEM + ML
Dissolution of a Nigerian sourced Muscovite ore for use as an ingredient in paint production,Scholar,QEM + ML
Multiple crack propagation and coalescence in finite elements with minimal local remeshing using the subregion generalized variational principle,Scholar,QEM + ML
Excited State Processes in Radical Elaborated Platinum Donor-Acceptor Complexes,Scholar,QEM + ML
Myotonia Congenita in Australian Merino Sheep with a Missense Variant in CLCN1,Scholar,QEM + ML
[인용] New Hyperspectral Endmember Extraction Algorithms using Convex Geometry,Scholar,QEM + ML
Heterogeneous Integration of Colloidal Quantum Dots with Silicon Nitride Nanophotonics,Scholar,QEM + ML
Improvement of the mechanical properties of thermosetting-binding-system-based composites by means of kneading procedure modification and composite …,Scholar,QEM + ML
Cinética y Mecanismos de Adsorción de Plomo (II) Usando Zeolita Gis-NaP Obtenida a Partir de Residuos de Ladrillo,Scholar,QEM + ML
National Soft Law as a Legal Phenomenon and a Tool for Increasing Stability of Legislation,Scholar,QEM + ML
Perceptions of endodontic le separation and treatment options among dental practitioners in Chennai,Scholar,QEM + ML
SRB measures for partially hyperbolic systems with one-dimensional center subbundles,Scholar,QEM + ML
HarD-CASDE: Segmentation And Lineage Tracking of HeLa Cells,Scholar,QEM + ML
[PS] OS ATII ANSAMBLE BR A {{TITSA,Scholar,QEM + ML
Towards risk-averse edge computing with deep reinforcement learning,Scholar,QEM + ML
On the Legal Nature of Astrent,Scholar,QEM + ML
Production and Signatures of CP-even Scalars from Core-Collapse Supernovae,Scholar,QEM + ML
"Energy and Parametric Analysis of Solar Absorption Cooling Systems for an Office Building in Souk Ahras City, Algeria",Scholar,QEM + ML
VANADIUM,Scholar,QEM + ML
Introduction. Musique et littérature: un dialogue (im) possible,Scholar,QEM + ML
REPORT OV LO,Scholar,QEM + ML
The Domain of the Sea for the Construction and Welfare of the Empire (Bulgarian Language),Scholar,QEM + ML
[인용] Modelagem matemática da distribuição do tamanho de partículas empregando peneiramento e cyclosizer em processos minerais.,Scholar,QEM + ML
FDTD method for nonlinear metasurface analysis,Scholar,QEM + ML
UNIVERSITÀ DI BOLOGNA,Scholar,QEM + ML
CDKN2A Gene Expression as a Potential Aging Biomarker in Dogs,Scholar,QEM + ML
Magnetic Resonance Imaging Characteristics of Hereditary Polymyositis in the Dutch Kooiker Dog,Scholar,QEM + ML
STOCHASTIC MODELS OF CHOICE BEHAVIOR zyxwvutsrqponml,Scholar,QEM + ML
Lizard growth and the ontogeny of sexual size dimorphism,Scholar,QEM + ML
TransXSSM: A Hybrid Transformer State Space Model with Unified Rotary Position Embedding,Scholar,QEM + ML
United Fund Raised 50 Percent Of Goal; Annual Meeting Set,Scholar,QEM + ML
MÕNINGATE RAVIMITE TOIMEST TRICHOMONAS VAG/NALIS'ELE,Scholar,QEM + ML
Indium-assisted defect passivation engineering toward antisolvent-free high-performance and stable perovskite solar cells,Scholar,QEM + ML
Implementation of Advanced Nonlinear Controllers for MPPT Control of Two Mass Wind Turbine and Indirect Power Control of DFIG using HOSMC and ANN,Scholar,QEM + ML
Kinetic characterization of enhanced impurity sputtering due to ion cyclotron radio-frequency heating,Scholar,QEM + ML
O impacto da equipe de cuidados paliativos perinatais em serviço de referência de medicina fetal,Scholar,QEM + ML
Environmentally Sustainable Synthesis of Novel Nano Assisted Ion Exchange Systems for Facile and High-Capacity Water Purification,Scholar,QEM + ML
Agent instructs large language models to be general zero-shot reasoners,Scholar,QEM + ML
Phenotypic characterization and quality of life of Labradoodles with idiopathic epilepsy and epilepsy of unknown cause,Scholar,QEM + ML
Assessing hotels website technical and aesthetic elements: the case for algerian hotels websites,Scholar,QEM + ML
"An assessment of the factors affecting the adoption of ATM cash deposit services. a case study of ABSA bank Zambia, Lusaka.",Scholar,QEM + ML
"Exploration for platinum-group minerals in till: A new approach to the recovery, counting, mineral identification and chemical characterization. Minerals 2021, 11 …",Scholar,QEM + ML
"Zemin araştırma ve iyileştirmelerinde jeolojik, jeofizik ve geoteknik yöntemlerin karşılaştırmalı olarak incelenmesi= The comparative analysis of geological …",Scholar,QEM + ML
"VASIKATE KOPSUPÕLETIKKUDE ETIOLOOGIA, PATOLOOGILIS-ANATOOMILISTE MUUTUSTE LAAD JA ULATUS",Scholar,QEM + ML
"RF Modeling, Design, Characterization and Biomedical Applications of Magnetic Scaffolds",Scholar,QEM + ML
On the Subject and Method of Legal Regulation of Enforcement Law through the Prism of General Theoretical Studies and Views of AT Bonner: A New Round of …,Scholar,QEM + ML
Problemas matemáticos elaborados por docentes: un análisis desde la contextualización culturalmente significativa,Scholar,QEM + ML
LA BANALIT D UN TIR SUIVI DE LA MISE EN MOTS DE L ENTRE-DEUX MONDES,Scholar,QEM + ML
A bacterial phyla dataset for protein function prediction,Scholar,QEM + ML
Методи та програмні засоби для вирішення задачі класифікації на основі тривимірних нейронних мереж,Scholar,QEM + ML
"NOVEL 3, 4-METHYLENEDIOXYBENZENE DERIVATIVES: SYNTHESIS, CHARACTERIZATION AND EVALUATION FOR THERAPEUTIC ACTIVITY",Scholar,QEM + ML
Contribuições de avaliação de risco para a regulamentação na qualidade da água para consumo humano no Brasil,Scholar,QEM + ML
Consortium team,Scholar,QEM + ML
Investigações teóricas sobre o obscurecimento de galáxias em alto e baixo redshifts,Scholar,QEM + ML
Clinical and epidemiological characteristics of patients with COVID-19 according to rsspmcemipd,Scholar,QEM + ML
The effect of extreme temperature on energy poverty in Indonesia,Scholar,QEM + ML
Practical Issues of the Settlement Agreement for Partition Disputes,Scholar,QEM + ML
Correlation between automated volumetry of temporal lobes and electroencephalography in dogs with idiopathic epilepsy,Scholar,QEM + ML
Some Issues of Law Enforcement in Disputes Related to the Exercise of Professional Activity of an Athlete,Scholar,QEM + ML
Private summation in the multi-message shuffle model,Scholar,QEM + ML
The Impact of Classification Efficiency on Comminntion Performance and Flotation Recovery,Scholar,QEM + ML
"Essai d'élaboration d'un lexique monolingue (kabyle-kabyle) relatif au langage enfantin ainsi qu'à des domaines particuliers: agriculture, éducation de l'enfant …",Scholar,QEM + ML
Efeito dos parâmetros do plasma na funcionalização de nanotubos de carbono e sua influência na adsorção de sulfadiazina em água,Scholar,QEM + ML
Análise de elasticidade e transmissão de preços da soja Chicago Mercantile Exchange para Goiás e Brasil-2018 a 2022,Scholar,QEM + ML
[PS] OCENKI VTORYH PROIZVODNYH SOBSTVENNYH VEKTOROV DL TONKIH ANIZOTROPNYH PLASTIN S PEREMENNO TOLWINO,Scholar,QEM + ML
Трубадуры и труверы по-русски: к проблеме перевода средневековой лирики,Scholar,QEM + ML
Human-centred artificial intelligence in progressive education: unravelling the benefits and challenges in Qatar's HEIs,Scholar,QEM + ML
Caracterização do rejeito magnético obtido a partir do beneficiamento de rocha fosfática.,Scholar,QEM + ML
Grain-Free Diets for Dogs and Cats: An Updated Review Focusing on Nutritional Effects and Health Considerations,Scholar,QEM + ML
"Economic Development, Risk Management, and Climate Policy",Scholar,QEM + ML
A knockout mutation associated with juvenile paroxysmal dyskinesia in Markiesje dogs indicates SOD1 pleiotropy,Scholar,QEM + ML
A Review on Potentially Probiotic Yeasts From Traditional Fermented Products in Sub‐Saharan Africa for Sustainable Food Systems and Improved Health,Scholar,QEM + ML
A Unified Method for Assessing Frequency Support Capability of Diverse Renewable Power Generation Units,Scholar,QEM + ML
Principles and Practices for Bipolar Semantics and Impact Measures in Computational Argumentation,Scholar,QEM + ML
Plasmon-Enabled Physical and Chemical Transformations of Nanomaterials,Scholar,QEM + ML
Diseño de una columna de adsorción para la remoción de Cromo mediante Carbón Activado derivada de semillas de Datura Stranomium,Scholar,QEM + ML
Efficacy and safety of carotegrast methyl in active ulcerative colitis: a real-world prospective cohort study,Scholar,QEM + ML
Survey on image copy-move forgery detection,Scholar,QEM + ML
Cloning and tissue expression analysis of squalene synthase gene from Fritillaria unibracteata.,Scholar,QEM + ML
"Динамическая модель развития, использующая временную потребительскую шкалу",Scholar,QEM + ML
On dual-mode driving control method for a novel unmanned tractor with high safety and reliability,Scholar,QEM + ML
[인용] Studies on Tribo-Corrosive Behaviour of Diesel for CI Engine Applications,Scholar,QEM + ML
Comparative Studies of the Electrical Properties of Heterostructures Containing Topological Insulators or Strontium Titanate,Scholar,QEM + ML
tssL..^ m',Scholar,QEM + ML
Evaluation of automated organ segmentation for total-body PET-CT,Scholar,QEM + ML
Principles of Law: Problems of Enforcement,Scholar,QEM + ML
"[책] Gestión de pasivos contingentes para proyectos de asociación público-privada: valoración, contabilización y reporte",Scholar,QEM + ML
Challenges for the activation of advanced practice nursing in Korea,Scholar,QEM + ML
Biological method of heavy metal management: Biosorption and bioaccumulation,Scholar,QEM + ML
Assessment of Poplar Drought Stress Level Based on 1DCNN Fusion of Multi-source Phenotypic Data,Scholar,QEM + ML
ALYNE MORAES COSTA,Scholar,QEM + ML
光学相干弹性成像技术及其应用研究进展,Scholar,QEM + ML
Once upon a time in Ribeira Bote: Um exemplo prático de comédia popular crioula,Scholar,QEM + ML
The standard model: from fundamental symmetries to experimental tests,Scholar,QEM + ML
"Exploration for platinum-group minerals in Till: A new approach to the recovery, counting, mineral identification and chemical characterization",Scholar,QEM + ML
[책] Structure-Based Design of Diagnostics and Therapeutics for Neurodegenerative Diseases,Scholar,QEM + ML
Avaliação dos efeitos sinérgicos e pró-apoptóticos in vitro da associação do quimioterápico Cisplatina e 2-aminoetil dihidrogeno fosfato (2-AEH2F) em células de …,Scholar,QEM + ML
[인용] 新一代多模型迭代算法在 70 kVp 成人副鼻窦 CT 扫描中的应用,Scholar,QEM + ML
"12,000 Readers",Scholar,QEM + ML
Legal Regulation of Defense Procurement of Russia and the USA in the Context of Digitalization,Scholar,QEM + ML
ISTANBUL TECHNICAL UNIVERSITY★ GRADUATE SCHOOL,Scholar,QEM + ML
Optical Imaging of Tissue Physiology with Exogenous Contrast Agents,Scholar,QEM + ML
[인용] Mechanism and Experiment Research on High-pressure Water Jet Cleaning of Strip Steel Surface,Scholar,QEM + ML
"“Homens sem cabeça”: A casa da marcha, um terreno etnográfico segundo três partes do corpo",Scholar,QEM + ML
基于轮廓线信息熵的建筑低模重建算法,Scholar,QEM + ML
Post-Harvest Conservation of Green Maize in Different Packages,Scholar,QEM + ML
The Study of Dietary Habits and Health Behaviors according to Physical Activity Type in Korean Adults-Based on the 2016~ 2018 Korea National Health and …,Scholar,QEM + ML
Optical Measurements of Single Microbubble Viscoelastic Properties,Scholar,QEM + ML
"[TXT] Dynamic simulation of industrial grinding circuits: mineral liberation, advanced process control, and real-time optimisation",Scholar,QEM + ML
Judicial Protection of Labour Rights,Scholar,QEM + ML
A qualitative study of the awareness and influencing factors of the dietary habits of the male and female workers' at a manufacturing facility in Gwangju,Scholar,QEM + ML
Graphene-Enabled High-Performance Bioelectronics,Scholar,QEM + ML
[책] Polyelectrolyte Brush Electrodes for Protein Capture and Release,Scholar,QEM + ML
ONCE UPON A TIME IN RIBEIRA BOTE,Scholar,QEM + ML
Condições de uma transição para o paradigma do questionamento do mundo,Scholar,QEM + ML
การ ปรับปรุง ประสิทธิภาพ พลังงาน โดย การ จัด ตาราง ใน การ จ่าย น้ำมัน ของ คลัง น้ำมัน แห่ง หนึ่ง,Scholar,QEM + ML
亚临界提取甜瓜籽油风味与脂肪酸关系分析.,Scholar,QEM + ML
Translations into Russian by ICC Russia of Important Documents in the Context of COVID-19: ICC Force Majeure Clause and ICC Hardship Clause. Why So Many …,Scholar,QEM + ML
Vulnerability Detection Through Binary Code Analysis,Scholar,QEM + ML
A Double-Phase High-Frequency Traveling Magnetic Field Developed for Contactless Stirring of Low-Conducting Liquid Materials,Scholar,QEM + ML
Operação sustentável em sistemas de distribuição de água: uma análise sob a ótica da produção mais limpa (P+ L),Scholar,QEM + ML
Attachment technique as orthodontic aligner retention reinforcement: An in vitro study,Scholar,QEM + ML
the Benefits and Challenges in Qatar's,Scholar,QEM + ML
Intestinal Research,Scholar,QEM + ML
"Civilna e, eom. etarslta praltsa ie, rađeYinsk. i inžinJeri",Scholar,QEM + ML
A crise de Covid-19 eo gerenciamento de resultados nas empresas listadas na B3,Scholar,QEM + ML
Vanadium as a critical material: economic geology with emphasis on market and the main deposit types,Scholar,QEM + ML
Modélisation de la déformation de systèmes diphasiques sous contraintes induites par des ondes électromagnétiques ou acoustiques,Scholar,QEM + ML
Limits of Criminal Law Intervention in Human Genome Research,Scholar,QEM + ML
[인용] The influence of telehealth-based interventions in patients with cancer in the digital era of society 5.0: A literature review,Scholar,QEM + ML
